"song","artist","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","popularity"
"Then - 2013 Remaster","Yes","Progressive Rock",0.368,0.476,0.03,0.212166666666667,0,0.052,0.102,0.00242,0.0779,0.294,0.115252,0,0.44
"21st Century Schizoid Man","King Crimson","Progressive Rock",0.306,0.701,0.07,0.1653,0,0.0664,0.000404,0.59,0.197,0.538,0.092527,1,0.58
"Aqualung - Steven Wilson Stereo Remix","Jethro Tull","Progressive Rock",0.455,0.57,0.07,0.168633333333333,0,0.0486,0.0882,0.000118,0.246,0.668,0.12283,1,0.4
"Karn Evil 9 (1st Impression - Part 2)","Emerson, Lake & Palmer","Progressive Rock",0.384,0.817,0.01,0.151316666666667,1,0.0661,0.267,0.00191,0.0756,0.685,0.12849,1,0.02
"Catherine Of Aragon","Rick Wakeman","Progressive Rock",0.36,0.298,0.07,0.20195,0,0.0335,0.419,0.871,0.327,0.0923,0.104737,1,0.02
"Firth Of Fifth - Remastered 2008","Genesis","Progressive Rock",0.247,0.594,0.04,0.161833333333333,0,0.0408,0.0214,0.0999,0.196,0.303,0.07492,1,0.55
"Heart of the Sunrise - 2003 Remaster","Yes","Progressive Rock",0.362,0.507,0.01,0.1874,1,0.0396,0.0177,0.217,0.113,0.439,0.146741,0,0.48
"The Court Of The Crimson King","King Crimson","Progressive Rock",0.339,0.346,0.04,0.201383333333333,0,0.0445,0.0834,0.194,0.214,0.07,0.135762,1,0.51
"Watermelon In Easter Hay","Frank Zappa","Progressive Rock",0.488,0.436,0.04,0.220616666666667,1,0.0443,0.204,0.0138,0.125,0.317,0.111616,1,0.02
"Poseidon's Creation","Eloy","Progressive Rock",0.158,0.742,0.1,0.1181,1,0.0375,0.00166,0.229,0.132,0.225,0.179955,1,0.02
"Time Was","Wishbone Ash","Progressive Rock",0.323,0.552,0.02,0.27555,1,0.0402,0.0201,0.0837,0.0951,0.0769,0.144402,1,0.01
"Pennants","Steve Howe","Progressive Rock",0.438,0.908,0.04,0.121183333333333,1,0.0832,0.0731,0.503,0.342,0.641,0.085134,1,0.35
"La Villa Strangiato","Rush","Progressive Rock",0.366,0.606,0,0.171233333333333,1,0.0371,0.000994,0.58,0.0762,0.137,0.143183,1,0.52
